ID;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO;ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;SM;SF;SIBLINGS;LIBRARY;POV78;EXP;EARNINGS;HOURS;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS
3640;0;1;0;0;1;37;12;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;26;35;31;23;25;35;30.36646;69;145;205;9;10;3;1;0;17.55769;9;40;16.73077;0;1;0;0;0;0;1;0;0
277;0;1;0;0;1;42;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;56;42;47;47;52;59;45.08792;70;135;178;16;13;2;1;;21.42308;10;35;14.01923;0;0;1;0;1;1;0;0;0
5167;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;50;48;50;39;41;50.54031;70;170;195;11;8;3;0;0;23.17308;20.май;48;15.01923;0;0;1;0;1;0;0;1;0
2578;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;56;36;43;38;33;29;38.27243;69;167;183;12;12;10;0;0;20.92308;сен.97;40;3.942308;1;0;1;0;1;0;1;0;0
2998;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;56;50;59;53;41;44;54.35698;70;175;222;11;9;4;1;0;22.40385;12.мар;50;4.673077;0;0;1;0;1;0;0;0;1
3055;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;40;40;42;29;41;41;37.72719;75;165;175;12;8;2;0;0;15.57692;12.май;50;14.07692;0;0;1;0;0;1;0;0;0
5211;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;52;38;41;35;30;39;37.99981;74;170;210;12;7;3;1;0;15.94231;15;40;7.076923;0;0;1;0;1;0;0;1;0
5344;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;56;49;54;50;47;35;51.63079;74;240;271;12;16;1;1;;15.25;13.71;54;7.211538;0;0;1;0;1;0;1;0;0
1975;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;54;47;56;62;53;46;54.35698;64;140;155;12;12;4;0;0;13.80769;14.42;40;13.11539;0;0;1;0;0;0;1;0;0
3494;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;52;57;55;53;49;42;57.08318;69;215;230;12;12;3;1;0;17.90385;30;48;22.73077;1;0;1;0;1;0;1;0;0
4698;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;54;61;56;44;60;42;57.08318;71;195;190;14;12;1;1;0;15.09615;авг.75;16;8.153846;0;0;1;0;1;1;0;0;0
2419;0;1;0;0;1;39;10;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;40;45;30;38;37;44;39.63553;73;148;185;13;8;2;1;0;20.84615;20.89;47;10.73077;0;0;1;0;1;0;0;0;1
3616;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;64;59;61;59;58;52;61.44509;72;150;150;12;9;3;0;0;18.42308;19.45;40;8.403846;0;0;1;0;0;0;1;0;0
417;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;60;47;61;53;41;44;53.26651;72;170;210;12;16;1;1;0;21.84615;19.23;40;7.346154;1;1;0;0;1;1;0;0;0
269;0;1;0;0;1;43;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;62;61;57;59;48;50;61.44509;69;135;170;12;18;0;1;0;21.46154;86.53;50;6.769231;0;0;1;0;1;1;0;0;0
12044;0;1;0;0;1;40;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;46;40;51;56;47;45;47.5415;68;210;225;12;12;1;1;0;14.25;11.ноя;45;1.076923;0;0;1;0;1;0;0;0;1
3932;0;1;1;0;0;40;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;38;40;43;47;43;43;42.90696;64;155;220;11;11;3;1;0;20.73077;23.июл;40;12.30769;1;1;0;0;1;0;0;0;1
1837;0;1;0;1;0;45;13;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;44;45;38;44;49;51;43.4522;66;155;170;2;0;6;1;1;15.61539;дек.98;40;8.115385;1;0;1;0;0;0;0;1;0
1107;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;60;51;54;56;56;31;54.35698;71;195;210;12;16;0;1;0;23.26923;27.77;45;2;0;0;1;0;0;0;0;0;1
5017;0;1;0;0;1;42;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;64;65;61;50;61;72;62.26295;71;170;170;16;17;0;1;0;22.86539;38.04;46;20.73077;0;0;1;0;1;0;0;0;1
